2	17	.95	.7
3	18	1	.75
4	19	.95	.7
5	20	1	.75
6	21	.95	.7
7	22	1	.75
8	23	.95	.7
9	24	1	.75
10	25	1	.75
11	26	.95	.7
12	27	.95	.7
13	28	.95	.7
14	29	.95	.7
15	30	1	.75
16	31	.95	.7
17	32	1	.75
17	18	.95	.7
18	33	.95	.7
19	18	1	.75
19	34	1	.75
20	19	.95	.7
20	35	.95	.7
20	21	.95	.7
21	36	.95	.7
21	22	1	.75
22	37	.95	.7
23	22	1	.75
23	38	.95	.7
23	24	1	.75
24	39	.95	.7
24	25	.95	.7
25	40	.95	.7
25	26	.95	.7
26	41	1	.75
27	26	.95	.7
27	42	1	.75
28	27	1	.75
28	43	.95	.7
28	29	.95	.7
29	44	1	.75
30	29	.95	.7
30	45	.95	.7
31	30	.95	.7
31	46	.95	.7
32	47	.95	.7
33	32	.95	.7
33	48	.95	.7
33	34	1	.75
34	49	.95	.7
34	35	.95	.7
35	50	.95	.7
35	36	.95	.7
36	51	1	.75
37	36	1	.75
37	52	.95	.7
38	37	1	.75
38	53	1	.75
39	38	1	.75
39	54	.95	.7
40	39	.95	.7
40	55	1	.75
40	41	1	.75
41	56	.95	.7
41	42	1	.75
42	57	1	.75
42	43	.95	.7
43	58	.95	.7
44	43	.95	.7
44	59	1	.75
44	45	.95	.7
45	60	1	.75
45	46	1	.75
46	61	.95	.7
47	62	.95	.7
47	48	1	.75
48	63	.95	.7
48	49	.95	.7
49	64	.95	.7
49	50	.95	.7
50	65	.95	.7
50	51	.95	.7
51	66	1	.75
52	51	1	.75
52	67	1	.75
52	53	1	.75
53	68	.95	.7
53	54	.95	.7
54	69	.95	.7
54	55	.95	.7
55	70	1	.75
56	55	.95	.7
56	71	1	.75
56	57	1	.75
57	72	1	.75
57	58	.95	.7
58	73	.95	.7
59	58	1	.75
59	74	.95	.7
60	59	1	.75
60	75	.95	.7
60	61	1	.75
61	76	1	.75
62	77	.95	.7
63	62	.95	.7
