1		91		1
2		133		1
3		135		1
4		158		1
5		154		1
6		142		1
7		132		1
8		143		1
9		100		1
10		156		1
11		139		1
12		101		1
13		150		1
14		136		1
15		123		1
16		107		1
17		124		1
18		112		1
19		95		1
20		127		1
21		122		1
22		151		1
23		137		1
24		141		1
25		162		1
26		93		1
27		113		1
28		108		1
29		157		1
30		92		1
31		165		1
32		160		1
33		130		1
34		120		1
35		117		1
36		183		1
37		172		1
38		175		1
511		862		1
511		854		1
511		855		1
511		857		1
511		859		1
512		854		1
512		858		1
512		859		1
513		860		1
513		862		1
514		859		1
515		859		1
516		859		1
517		860		1
517		859		1
518		860		1
518		854		1
519		860		1
519		855		1
519		859		1
520		852		1
521		859		1
522		859		1
523		859		1
524		862		1
524		859		1
525		861		1
526		859		1
527		861		1
527		862		1
527		859		1
528		862		1
529		851		1
530		859		1
531		860		1
531		861		1
531		859		1
532		861		1
532		862		1
532		854		1
533		854		1
533		859		1
534		860		1
534		862		1
535		859		1
536		862		1
537		860		1
538		861		1
538		857		1
539		861		1
540		861		1
540		862		1
540		854		1
540		857		1
540		859		1
541		860		1
541		861		1
542		860		1
543		859		1
544		224		1
544		860		1
544		861		1
544		854		1
544		856		1
544		857		1
544		859		1
545		854		1
545		859		1
546		860		1
546		854		1
547		859		1
548		228		1
548		860		1
548		854		1
548		859		1
549		860		1
550		859		1
551		854		1
551		857		1
552		860		1
553		860		1
553		854		1
553		859		1
554		861		1
554		862		1
555		854		1
556		854		1
557		854		1
557		859		1
558		860		1
558		862		1
558		859		1
559		860		1
559		854		1
559		857		1
560		240		1
560		861		1
560		854		1
560		855		1
560		856		1
560		857		1
561		860		1
561		861		1
561		854		1
562		854		1
563		861		1
563		862		1
563		854		1
564		854		1
564		857		1
564		859		1
565		854		1
565		859		1
566		854		1
567		860		1
567		854		1
567		857		1
568		854		1
569		852		1
570		854		1
571		854		1
572		854		1
573		860		1
573		854		1
574		860		1
574		859		1
575		854		1
576		256		1
576		862		1
576		854		1
576		857		1
577		861		1
577		854		1
577		859		1
578		854		1
579		860		1
580		859		1
581		854		1
582		854		1
582		857		1
583		854		1
583		857		1
584		854		1
584		857		1
585		854		1
586		855		1
587		859		1
588		860		1
589		854		1
589		855		1
590		860		1
590		857		1
590		859		1
591		861		1
592		860		1
592		862		1
592		859		1
593		854		1
594		860		1
594		859		1
595		861		1
596		862		1
597		854		1
598		854		1
599		851		1
599		854		1
599		859		1
600		860		1
600		861		1
601		857		1
602		852		1
603		860		1
604		854		1
605		860		1
606		862		1
607		859		1
608		860		1
608		861		1
608		862		1
609		860		1
609		854		1
609		857		1
609		859		1
610		860		1
610		861		1
610		862		1
610		859		1
611		859		1
612		860		1
612		854		1
612		859		1
613		854		1
614		862		1
615		856		1
616		859		1
617		862		1
618		861		1
619		859		1
620		860		1
621		861		1
622		862		1
622		859		1
623		859		1
624		855		1
625		857		1
626		857		1
626		859		1
627		862		1
627		854		1
628		860		1
629		854		1
630		859		1
631		860		1
632		862		1
632		854		1
633		854		1
634		857		1
635		861		1
636		862		1
637		859		1
638		859		1
639		860		1
639		859		1
640		862		1
640		854		1
641		861		1
642		855		1
643		862		1
643		854		1
644		859		1
645		862		1
645		852		1
646		854		1
